iter	Passed	Remaining
0	43	21680
1	85	21260
2	134	22243
3	184	22881
4	238	23654
5	292	24048
6	342	24108
7	388	23895
8	434	23725
9	481	23585
10	529	23549
11	577	23481
12	623	23364
13	671	23309
14	717	23192
15	765	23152
16	814	23137
17	874	23417
18	929	23533
19	979	23506
20	1028	23470
21	1076	23387
22	1127	23390
23	1183	23473
24	1235	23473
25	1281	23367
26	1329	23292
27	1377	23217
28	1422	23109
29	1470	23033
30	1519	22983
31	1566	22906
32	1610	22787
33	1653	22668
34	1700	22598
35	1748	22542
36	1795	22465
37	1848	22475
38	1897	22432
39	1947	22395
40	1992	22307
41	2040	22254
42	2087	22186
43	2134	22125
44	2180	22045
45	2228	21992
46	2274	21924
47	2320	21852
48	2367	21786
49	2416	21745
50	2474	21784
51	2541	21899
52	2595	21891
53	2647	21866
54	2699	21841
55	2750	21810
56	2798	21749
57	2846	21691
58	2896	21652
59	2943	21588
60	2996	21567
61	3045	21517
62	3096	21477
63	3146	21434
64	3197	21395
65	3252	21387
66	3304	21353
67	3353	21301
68	3397	21224
69	3445	21164
70	3489	21087
71	3543	21065
72	3604	21083
73	3663	21091
74	3712	21036
75	3761	20982
76	3807	20918
77	3855	20860
78	3903	20799
79	3949	20733
80	3993	20659
81	4045	20621
82	4098	20592
83	4149	20547
84	4202	20515
85	4258	20501
86	4308	20455
87	4358	20403
88	4405	20345
89	4452	20283
90	4503	20241
91	4548	20173
92	4594	20106
93	4641	20049
94	4688	19985
95	4747	19979
96	4799	19939
97	4859	19933
98	4909	19887
99	4966	19865
100	5017	19823
101	5069	19781
102	5117	19723
103	5165	19667
104	5216	19623
105	5264	19568
106	5310	19504
107	5357	19446
108	5403	19381
109	5450	19324
110	5496	19261
111	5542	19201
112	5588	19138
113	5633	19075
114	5682	19025
115	5730	18969
116	5785	18938
117	5835	18890
118	5885	18842
119	5940	18810
120	5990	18762
121	6042	18722
122	6089	18664
123	6139	18616
124	6191	18574
125	6242	18529
126	6290	18476
127	6340	18426
128	6392	18384
129	6441	18333
130	6488	18276
131	6537	18226
132	6588	18180
133	6635	18125
134	6687	18079
135	6738	18034
136	6788	17986
137	6849	17966
138	6895	17909
139	6941	17849
140	6991	17801
141	7038	17744
142	7089	17699
143	7141	17655
144	7187	17597
145	7235	17544
146	7287	17499
147	7339	17456
148	7405	17444
149	7467	17423
150	7516	17372
151	7569	17330
152	7623	17290
153	7675	17244
154	7723	17190
155	7772	17138
156	7822	17089
157	7877	17050
158	7929	17005
159	7982	16961
160	8029	16906
161	8076	16851
162	8155	16861
163	8246	16895
164	8331	16915
165	8393	16888
166	8446	16842
167	8502	16803
168	8556	16757
169	8607	16708
170	8655	16653
171	8712	16613
172	8765	16567
173	8813	16513
174	8863	16461
175	8911	16405
176	8961	16353
177	9010	16299
178	9058	16244
179	9107	16190
180	9158	16141
181	9210	16093
182	9260	16041
183	9309	15987
184	9357	15932
185	9406	15879
186	9453	15823
187	9524	15806
188	9576	15757
189	9635	15721
190	9702	15696
191	9756	15650
192	9819	15620
193	9872	15572
194	9943	15552
195	9999	15509
196	10054	15464
197	10110	15421
198	10161	15370
199	10202	15303
200	10258	15259
201	10311	15211
202	10364	15163
203	10416	15113
204	10473	15071
205	10525	15021
206	10575	14968
207	10625	14916
208	10672	14859
209	10725	14810
210	10776	14759
211	10825	14706
212	10869	14645
213	10917	14590
214	10968	14539
215	11018	14486
216	11098	14473
217	11187	14472
218	11240	14422
219	11294	14375
220	11345	14323
221	11392	14266
222	11443	14214
223	11491	14159
224	11538	14102
225	11588	14049
226	11635	13993
227	11682	13936
228	11735	13888
229	11791	13841
230	11841	13789
231	11886	13731
232	11934	13675
233	11983	13621
234	12033	13569
235	12080	13513
236	12132	13464
237	12178	13406
238	12226	13352
239	12272	13295
240	12319	13239
241	12365	13182
242	12420	13135
243	12470	13084
244	12529	13040
245	12601	13010
246	12651	12958
247	12705	12910
248	12776	12879
249	12828	12828
250	12888	12785
251	12936	12731
252	12983	12676
253	13031	12621
254	13080	12567
255	13109	12495
256	13158	12441
257	13207	12388
258	13256	12334
259	13305	12282
260	13356	12230
261	13410	12182
262	13460	12129
263	13504	12072
264	13558	12023
265	13610	11972
266	13660	11921
267	13712	11870
268	13763	11818
269	13811	11765
270	13864	11715
271	13913	11662
272	13963	11610
273	14001	11548
274	14052	11497
275	14098	11442
276	14146	11388
277	14204	11342
278	14269	11303
279	14324	11254
280	14354	11187
281	14404	11135
282	14460	11088
283	14512	11037
284	14566	10988
285	14616	10936
286	14665	10884
287	14723	10838
288	14780	10791
289	14833	10741
290	14884	10689
291	14935	10638
292	14988	10589
293	15037	10536
294	15090	10486
295	15139	10434
296	15168	10367
297	15215	10314
298	15265	10262
299	15318	10212
300	15364	10157
301	15426	10114
302	15477	10063
303	15530	10013
304	15583	9963
305	15635	9912
306	15689	9863
307	15715	9796
308	15768	9747
309	15832	9703
310	15904	9665
311	15936	9603
312	15991	9553
313	16057	9512
314	16114	9464
315	16152	9405
316	16209	9357
317	16268	9310
318	16324	9262
319	16382	9215
320	16437	9166
321	16486	9113
322	16540	9063
323	16594	9014
324	16653	8967
325	16704	8916
326	16761	8867
327	16811	8815
328	16868	8767
329	16924	8718
330	16983	8671
331	17031	8618
332	17082	8566
333	17135	8516
334	17189	8466
335	17248	8419
336	17280	8358
337	17334	8308
338	17384	8256
339	17433	8203
340	17470	8145
341	17522	8095
342	17576	8045
343	17632	7996
344	17684	7945
345	17735	7893
346	17783	7841
347	17860	7801
348	17920	7753
349	17978	7704
350	18048	7661
351	18097	7609
352	18136	7552
353	18190	7502
354	18229	7445
355	18284	7396
356	18341	7346
357	18399	7298
358	18467	7253
